Date,Name,Year,Letterboxd URI
2024-11-23,The Outrun,2024,https://boxd.it/txPo
2024-11-23,Scent of a Woman,1992,https://boxd.it/1YAu
2024-11-25,Don't Open Till Christmas,1984,https://boxd.it/2Yke
2024-11-26,Goon,2011,https://boxd.it/2B6o
2024-11-28,My American Uncle,1980,https://boxd.it/13qC
2024-12-03,On Becoming a Guinea Fowl,2024,https://boxd.it/EXzS
2024-12-03,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2024-12-08,Bambi: The Reckoning,2025,https://boxd.it/DIUk
2024-12-09,Kung Fu Hustle,2004,https://boxd.it/1YBi
2024-12-23,I Believe in Unicorns,2014,https://boxd.it/7qGA
2024-12-24,The Day of the Beast,1995,https://boxd.it/1Vyg
2024-12-27,All We Imagine as Light,2024,https://boxd.it/yXaQ
2024-12-27,Cries and Whispers,1972,https://boxd.it/1WK8
2025-01-03,Nightbitch,2024,https://boxd.it/rk8s
2025-01-04,Mysterious Skin,2004,https://boxd.it/1UsG
2025-01-04,Thirteen,2003,https://boxd.it/1UPK
2025-01-04,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy
2025-01-05,Stopmotion,2023,https://boxd.it/vHYa
2025-01-06,Kingdom of Heaven,2005,https://boxd.it/28Gs
2025-01-06,The Childhood of a Leader,2015,https://boxd.it/aRce
2025-01-06,Hell House LLC,2015,https://boxd.it/cdjy
2025-01-06,Fire in the Sky,1993,https://boxd.it/1LS6
2025-01-06,Butterfly Kisses,2018,https://boxd.it/hgWo
2025-01-06,Last Shift,2014,https://boxd.it/9nda
2025-01-06,The Exorcism of Emily Rose,2005,https://boxd.it/200I
2025-01-06,High Tension,2003,https://boxd.it/1WLU
2025-01-06,Threads,1984,https://boxd.it/1I0g
2025-01-07,The Piano,1993,https://boxd.it/29Kq
2025-01-07,The Elephant Man,1980,https://boxd.it/27LQ
2025-01-07,Andrei Rublev,1966,https://boxd.it/29lg
2025-01-07,Opening Night,1977,https://boxd.it/1f4e
2025-01-07,Viridiana,1961,https://boxd.it/24eE
2025-01-07,The Loneliness of the Long Distance Runner,1962,https://boxd.it/1KOM
2025-01-07,Sunday Bloody Sunday,1971,https://boxd.it/OlW
2025-01-07,Petulia,1968,https://boxd.it/Wpi
2025-01-09,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2025-01-09,Insomnia,2002,https://boxd.it/2aB0
2025-01-09,Winter's Bone,2010,https://boxd.it/14FI
2025-01-10,Strange Days,1995,https://boxd.it/2aGO
2025-01-10,Point Break,1991,https://boxd.it/2958
2025-01-10,K-19: The Widowmaker,2002,https://boxd.it/1ZYs
2025-01-11,Sideways,2004,https://boxd.it/1Y5c
2025-01-13,Opus,2025,https://boxd.it/JBMA
2025-01-18,MadS,2024,https://boxd.it/M8qQ
2025-01-19,American History X,1998,https://boxd.it/2bdo
2025-01-20,Red Rooms,2023,https://boxd.it/ym4c
2025-01-21,Almost Famous,2000,https://boxd.it/29CQ
2025-01-27,Bon Cop Bad Cop,2006,https://boxd.it/1MV6
2025-01-27,Mommy,2014,https://boxd.it/7Uau
2025-01-27,Shattered Glass,2003,https://boxd.it/1PXa
2025-01-27,Deadly Eyes,1982,https://boxd.it/Gjy
2025-01-27,Fubar,2002,https://boxd.it/1OZ0
2025-02-04,The Girl with the Needle,2024,https://boxd.it/KQ3M
2025-02-04,Twinless,2025,https://boxd.it/LkKc
2025-02-06,The Faculty,1998,https://boxd.it/1Z5C
2025-02-06,The People Under the Stairs,1991,https://boxd.it/1QMC
2025-02-08,August 32nd on Earth,1998,https://boxd.it/hY2
2025-02-08,Maelström,2000,https://boxd.it/1caI
2025-02-11,In the Mouth of Madness,1994,https://boxd.it/26vi
2025-02-11,Absentia,2011,https://boxd.it/2yWw
2025-02-11,The Post,2017,https://boxd.it/fTeG
2025-02-11,Lincoln,2012,https://boxd.it/2n2s
2025-02-11,Bridge of Spies,2015,https://boxd.it/9n9C
2025-02-11,War Horse,2011,https://boxd.it/nf8
2025-02-11,Empire of the Sun,1987,https://boxd.it/1X4i
2025-02-11,Munich,2005,https://boxd.it/2a0e
2025-02-11,Amistad,1997,https://boxd.it/1SZ4
2025-02-11,The Sugarland Express,1974,https://boxd.it/23la
2025-02-11,1941,1979,https://boxd.it/1TF0
2025-02-11,Always,1989,https://boxd.it/1U3G
2025-02-11,"What's Up, Doc?",1972,https://boxd.it/21iy
2025-02-13,Coherence,2013,https://boxd.it/6xza
2025-02-14,Dracula Untold,2014,https://boxd.it/H4u
2025-02-15,Lars and the Real Girl,2007,https://boxd.it/21tG
2025-02-16,The White Ribbon,2009,https://boxd.it/17eU
2025-02-16,Before Sunset,2004,https://boxd.it/2bcg
2025-02-16,Take Me Home Tonight,2011,https://boxd.it/CYM
2025-02-16,Being John Malkovich,1999,https://boxd.it/2ahu
2025-02-18,Invaders from Mars,1986,https://boxd.it/1i8S
2025-02-18,Sorcerer,1977,https://boxd.it/14J6
2025-02-18,Cruising,1980,https://boxd.it/1qzW
2025-02-18,To Live and Die in L.A.,1985,https://boxd.it/1XFo
2025-02-18,Killer Joe,2011,https://boxd.it/2vtQ
2025-02-18,Rules of Engagement,2000,https://boxd.it/1Wa0
2025-02-18,Creepy,2016,https://boxd.it/dfd0
2025-02-18,First Cow,2019,https://boxd.it/krga
2025-02-18,Picnic at Hanging Rock,1975,https://boxd.it/1UQe
2025-02-18,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2025-02-18,You Were Never Really Here,2017,https://boxd.it/dWOS
2025-02-18,Ratcatcher,1999,https://boxd.it/1mSg
2025-02-19,Barking Dogs Never Bite,2000,https://boxd.it/1BLa
2025-02-19,The Beyond,1981,https://boxd.it/1FtY
2025-02-20,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/Blzk
2025-02-20,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2025-02-20,Satantango,1994,https://boxd.it/1j9M
2025-02-20,Memoir of a Snail,2024,https://boxd.it/EgX8
2025-02-21,The Fall,2006,https://boxd.it/1NoM
2025-02-22,Universal Language,2024,https://boxd.it/BlwA
2025-02-24,The Place Beyond the Pines,2012,https://boxd.it/3mDu
2025-02-24,A Separation,2011,https://boxd.it/gvo
2025-02-25,Special Section,1975,https://boxd.it/2MGi
2025-02-26,My Life as a Zucchini,2016,https://boxd.it/dL2y
2025-03-02,The Horror of Frankenstein,1970,https://boxd.it/25ES
2025-03-02,National Lampoon's Loaded Weapon 1,1993,https://boxd.it/1Y9I
2025-03-04,Lumière & Company,1995,https://boxd.it/IHM
2025-03-04,The Art of Self-Defense,2019,https://boxd.it/hf5y
2025-03-04,"Oh, Canada",2024,https://boxd.it/G7TU
2025-03-04,Braindead,1992,https://boxd.it/29Gy
2025-03-04,Dementia 13,1963,https://boxd.it/1prs
2025-03-06,Jim's Room,2025,https://boxd.it/D7u0
2025-03-07,Deliverance,1972,https://boxd.it/1VGk
2025-03-07,The Wages of Fear,1953,https://boxd.it/2aSK
2025-03-09,2073,2024,https://boxd.it/CIPW
2025-03-14,Excalibur,1981,https://boxd.it/1TDI
2025-03-16,Grabbers,2012,https://boxd.it/2XL4
2025-03-16,Intermission,2003,https://boxd.it/1JrM
2025-03-16,My Left Foot: The Story of Christy Brown,1989,https://boxd.it/1WW4
2025-03-16,Hunger,2008,https://boxd.it/1Wso
2025-03-16,The Wind That Shakes the Barley,2006,https://boxd.it/293Q
2025-03-16,The Secret of Kells,2009,https://boxd.it/1sMI
2025-03-19,Harakiri,1962,https://boxd.it/1NTU
2025-03-19,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ
2025-03-19,Next Floor,2008,https://boxd.it/3psY
2025-03-23,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2025-03-26,The Cell,2000,https://boxd.it/1ZLS
2025-03-26,The Color of Pomegranates,1969,https://boxd.it/1u94
2025-03-29,Miss Sloane,2016,https://boxd.it/d4QA
2025-04-01,Murder Is Easy,2023,https://boxd.it/KO7s
2025-04-01,Primer,2004,https://boxd.it/6YA
2025-04-02,On the Silver Globe,1988,https://boxd.it/1sAM
2025-04-02,The Devil,1972,https://boxd.it/3iRC
2025-04-05,First Reformed,2017,https://boxd.it/go9C
2025-04-05,Slanted,2025,https://boxd.it/Nv2E
2025-04-08,Thank You for Smoking,2005,https://boxd.it/1YOc
2025-04-08,Palm Springs,2020,https://boxd.it/lCXQ
2025-04-09,Dead Silence,2007,https://boxd.it/1OWK
2025-04-15,Fruitvale Station,2013,https://boxd.it/4VRy
2025-04-19,Manchester by the Sea,2016,https://boxd.it/b2L0
2025-04-19,"Synecdoche, New York",2008,https://boxd.it/23zw
2025-04-25,Nirvana the Band the Show,2007,https://boxd.it/GITi
2025-04-26,The Annihilation of Fish,1999,https://boxd.it/FaU
2025-04-27,Dog Soldiers,2002,https://boxd.it/1SRE
2025-04-28,The Invite,,https://boxd.it/zRNY
2025-04-28,The Black Room,1935,https://boxd.it/1sIw
2025-04-28,Adaptation.,2002,https://boxd.it/26mA
2025-04-28,The Man in the Iron Mask,1998,https://boxd.it/1YZO
2025-04-29,Sky Captain and the World of Tomorrow,2004,https://boxd.it/23jS
2025-04-29,Brazil,1985,https://boxd.it/2be2
2025-04-29,Dark City,1998,https://boxd.it/26uk
2025-04-29,Cloud Atlas,2012,https://boxd.it/2W60
2025-05-02,The Beach,2000,https://boxd.it/27T6
2025-05-09,Beowulf,2007,https://boxd.it/26Xw
2025-05-09,The Hunt for Red October,1990,https://boxd.it/28lk
2025-05-09,A Boy,1977,https://boxd.it/bDOA
2025-05-14,Funny Pages,2022,https://boxd.it/lrlm
2025-05-14,Alpha,2025,https://boxd.it/N008
2025-05-14,Girl on Edge,2025,https://boxd.it/UhSq
2025-05-16,The Surrender,2025,https://boxd.it/PKYW
2025-05-21,Battle Royale,2000,https://boxd.it/25zS
2025-05-24,The History of Sound,2025,https://boxd.it/xFY2
2025-05-28,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/8i6Q
2025-05-29,Saving Face,2004,https://boxd.it/1Fj0
2025-06-02,There Is No Evil,2020,https://boxd.it/oRVQ
2025-06-02,The White Meadows,2009,https://boxd.it/3nYS
2025-06-03,The Sealed Soil,1977,https://boxd.it/T7A
2025-06-03,Once Upon a Time in China,1991,https://boxd.it/1VOy
2025-06-05,The Ugly Stepsister,2025,https://boxd.it/MZBM
